year,word,frequency
0,ኢየሱስ,5551
0,እኔ,1553
0,እግዚአብሄር,1091
0,አለ,719
0,እርሱ,690
0,ክብር,574
0,ምሥጋና,569
0,ሰው,550
0,አምላኬ,523
0,ዛሬ,474
0,ፍቅር,465
0,አንተን,428
0,ገና,415
0,አምላክ,413
0,ብዙ,389
0,ማነ,381
0,በላይ,381
0,እኛ,320
0,ፊት,317
0,ልቤ,315
0,አለኝ,301
0,ቃል,297
0,ምድር,293
0,ደስ,293
0,ክበር,282
0,ህይወት,280
0,ሆነ,279
0,ምህረት,262
0,ዘለዓለም,261
0,ነፍሴ,244
0,ድል,240
0,ሃሌሉያ,234
0,ለአንተ,227
0,ሰማይ,222
0,ቀን,222
0,ህይወቴ,215
0,ጠላት,210
0,ጋር,206
0,አሜን,205
0,ሞት,203
0,ዓለም,203
0,ጊዜ,200
0,ተመስገን,195
0,ምህረቱ,192
0,ጌታን,190
0,እንዲ,183
0,ተስፋ,181
0,ይህን,179
0,ሁሉን,177
0,ጋራ,176
0,ውለታ,175
0,ደስታ,172
0,እውነት,169
0,ከፍ,166
0,ሥም,162
0,ቅዱስ,160
0,ወይ,159
0,አንድ,154
0,ገናና,154
0,ድንቅ,152
0,ንጉሥ,150
0,ዘመን,150
0,ተባረክ,148
0,ዝም,148
0,ሆኖ,147
0,ከቶ,147
0,ውስጥ,147
0,ነውና,146
0,ቤት,143
0,ስም,142
0,ኃይል,141
0,አቤቱ,141
0,እጅግ,141
0,መንገድ,140
0,እኮ,140
0,ሰላም,138
0,ማንም,136
0,ዘላለም,134
0,ዝማሬ,134
0,ልጅ,133
0,ቀር,132
0,ይሄ,131
0,ሁሌ,130
0,ስራ,130
0,መከራ,128
0,ወዳጅ,128
0,ታላቅ,127
0,አባቴ,126
0,ደግሞ,125
0,ጠላቴ,125
0,ሁልግዜ,123
0,ምንም,123
0,ያለው,123
0,እንኳ,120
0,ብርቱ,118
0,ምሥጋናዬ,116
0,በዛ,116
0,ታማኝ,116
0,አባት,116
0,ሁሉም,115
1980,ኢየሱስ,82
1980,አምላክ,39
1980,ስራ,36
1980,እርሱ,36
1980,ጠብቃለሁ,32
1980,ሞት,28
1980,እኛ,27
1980,ሁሉን,23
1980,እግዚአብሄር,23
1980,ውስጤ,22
1980,ያግደው,20
1980,ይታገለው,20
1980,ፍራ,20
1980,ማረኝ,18
1980,ወንዝ,18
1980,ድንቅ,18
1980,ሰላም,16
1980,ሰማይ,16
1980,ሰው,16
1980,አለኝ,16
1980,አይወራ,16
1980,ጌታን,16
1980,ሁሉም,15
1980,ኑሮ,14
1980,ውጊያ,14
1980,ደስታ,14
1980,ገና,14
1980,መንግሥተ,12
1980,ሰይፍ,12
1980,ቆም,12
1980,ነፍሱ,12
1980,እንኳ,12
1980,ወዲያ,12
1980,ውኃ,11
1980,ጋራ,11
1980,ህይወቴ,10
1980,መረጥን,10
1980,መዳ,10
1980,መጠለያ,10
1980,ማታ,10
1980,ስም,10
1980,ስር,10
1980,ቃሉ,10
1980,ቆመ,10
1980,ቢገድለኝ,10
1980,ብል,10
1980,ንጋቱ,10
1980,አለፍን,10
1980,አበራ,10
1980,አየነ,10
1980,እኛስ,10
1980,ከሌላ,10
1980,ኮከብ,10
1980,ዘወትር,10
1980,ይሆንልናል,10
1980,ይቆራርጣል,10
1980,ጊዜ,10
1980,ቢሆን,9
1980,እኔስ,9
1980,ይህን,9
1980,ህይወት,8
1980,ለጥሞና,8
1980,ልበረታ,8
1980,መንገዴ,8
1980,ማይጠፋ,8
1980,ምኞቴ,8
1980,ሥጋ,8
1980,ተስፋ,8
1980,ትዕዛዝ,8
1980,ንጹህ,8
1980,አቤቱ,8
1980,አዕምሮዬ,8
1980,አጣሁኝ,8
1980,አጸናለሁ,8
1980,ኡኡኡኡኡ,8
1980,እያለሁኝ,8
1980,እግር,8
1980,ከመዓቱ,8
1980,ክብሩ,8
1980,የሚያረሰርስ,8
1980,የሚፈስ,8
1980,ያድራል,8
1980,ያድናል,8
1980,ይመረጣል,8
1980,ይስፋ,8
1980,ጠዋት,8
1980,ፊቱ,8
1980,እራሱ,7
1980,ሆነ,6
1980,ሊያስተምረኝ,6
1980,ላግኘው,6
1980,ልቤ,6
1980,ልዩ,6
1980,ምድር,6
1980,በዝቶ,6
1980,ባርያውን,6
1980,ብዙ,6
1980,ተመስገን,6
1980,ትህትና,6
1980,አለ,6
1992,ውለታ,41
1992,በዛብኝ,28
1992,እግዚአብሄር,28
1992,ኢየሱስ,26
1992,አምላክ,15
1992,አሰራሩ,12
1992,እኛስ,12
1992,ምክሩ,11
1992,አይሳሳትም,11
1992,ግሩ,11
1992,ፍፁም,11
1992,ምሥጋና,10
1992,ዘለዓለም,9
1992,የእግዚአብሄርስ,9
1992,ብዙ,8
1992,አደረገ,8
1992,እርሱ,8
1992,ክብር,8
1992,ሞት,7
1992,ከፍ,7
1992,ንገሥ,6
1992,ንጉሡ,6
1992,አምላካችን,6
1992,ላመስግነው,5
1992,ማህተሙን,5
1992,በል,5
1992,ተመለሱ,5
1992,ተነስቷል,5
1992,ኃይለኛ,5
1992,ኢየሩሳሌም,5
1992,እንዳንተ,5
1992,ይህን,5
1992,ድንቅ,5
1992,ፈታ,5
1992,መንገደኞች,4
1992,መዝሙሮች,4
1992,ምድር,4
1992,ተስፋ,4
1992,ናዝራዊው,4
1992,አምላኬ,4
1992,እጅግ,4
1992,ወዳጄ,4
1992,የኤማሆስ,4
1992,የጌታ,4
1992,ደቀ,4
1992,ገና,4
1992,ነበረ,3
1992,እንደዚህ,3
1992,እኛ,3
1992,ሁሌ,2
1992,ህይወት,2
1992,መከራ,2
1992,መዝገብ,2
1992,ሚቋቋመን,2
1992,ማኅተሙን,2
1992,ማነ,2
1992,ሞተ,2
1992,ሞገስ,2
1992,ሥማችንን,2
1992,ሰባት,2
1992,ሰይጣን,2
1992,በላይ,2
1992,ባርነት,2
1992,ተብሎ,2
1992,ታማኝ,2
1992,ታች,2
1992,ኃይል,2
1992,አሰበ,2
1992,አባታችን,2
1992,እናብባለን,2
1992,እናንተ,2
1992,እኔ,2
1992,እንለመልማለን,2
1992,እንሻገራለን,2
1992,እንደሰታለን,2
1992,እኮ,2
1992,ከአዕምሮ,2
1992,ዛሬ,2
1992,ዛፍ,2
1992,የናዝሬቱ,2
1992,ይዘን,2
1992,ይድረሰው,2
1992,ጊዜ,2
1992,ጋር,2
1992,ጻፈው,2
1992,ፊት,2
1992,ሁሉን,1
1992,ህዝብ,1
1992,ሆነ,1
1992,ሆናችሁ,1
1992,ሆኗል,1
1992,ለመለምን,1
1992,ለም,1
1992,ለቃችኋል,1
1992,ለካስ,1
1992,ለውጠሃል,1
1992,ለጐምክልን,1
1992,ሊውጠን,1
1992,ሊያከብረኝ,1
1992,ሊያጠፋ,1
1993,አንተን,9
1993,ነፍሴ,7
1993,ኢየሱስ,5
1993,አለ,4
1993,ምንጭ,3
1993,እንደምትናፍቅ,3
1993,ዋላ,3
1993,ውኃ,3
1993,ልጥና,2
1993,ኑሮ,2
1993,አትጨክንምና,2
1993,እንባ,2
1993,የለኝምና,2
1993,ደጅ,2
1993,ለቀሪውስ,1
1993,ሌሊቱ,1
1993,ሌሊት,1
1993,ልጅ,1
1993,መሆኑ,1
1993,መቼ,1
1993,መኖር,1
1993,መጠጊያ,1
1993,ምንም,1
1993,ምንድ,1
1993,ምድረ,1
1993,ሰው,1
1993,ሳትሰራልህ,1
1993,ስለዚ,1
1993,ቀንና,1
1993,በዳ,1
1993,ባስለመድከኝ,1
1993,ብሏል,1
1993,ተስፋ,1
1993,ተኝቷል,1
1993,ትርጉሟ,1
1993,ቶሎ,1
1993,አለቴ,1
1993,አምሯታል,1
1993,አባቴ,1
1993,አንተኑ,1
1993,አይሆንላት,1
1993,አደርግሃልሁ,1
1993,እመካብሃለሁ,1
1993,እስከ,1
1993,እተኛለሁ,1
1993,እውነተኛ,1
1993,እግዚአብሄር,1
1993,እጠብቅሃለሁ,1
1993,ከቃጠሎ,1
1993,ከዛ,1
1993,ካላገኘሁ,1
1993,ወደሃታል,1
1993,ወዳጅ,1
1993,ዘለዓለሙ,1
1993,የላት,1
1993,የታደካት,1
1993,ያሰጋታል,1
1993,ደርሰህላት,1
1993,ጉዞ,1
1993,ጋር,1
1993,ጐጆ,1
1993,ጣዕሟ,1
1993,ጭር,1
1993,ፈለገች,1
1993,ፊት,1
1993,ፍራ,1
1993,ሀማ,0
1993,ሀሜት,0
1993,ሀምሌ,0
1993,ሀረግ,0
1993,ሀሩር,0
1993,ሀሳብ,0
1993,ሀሴት,0
1993,ሀቅ,0
1993,ሀብት,0
1993,ሀኪም,0
1993,ሀዋሪያት,0
1993,ሀዋርያቱ,0
1993,ሀውልት,0
1993,ሀዘን,0
1993,ሀያ,0
1993,ሀያል,0
1993,ሀይ,0
1993,ሀይለኛና,0
1993,ሀይል,0
1993,ሀይቂዳጋ,0
1993,ሀይወታችን,0
1993,ሀይወትን,0
1993,ሀዲዱ,0
1993,ሀገሬ,0
1993,ሀገር,0
1993,ሀጌ,0
1993,ሀጥያት,0
1993,ሀፍረቴን,0
1993,ሀፍረት,0
1993,ሀፍረቷን,0
1993,ሁሁ,0
1993,ሁሁሁ,0
1993,ሁለ,0
1993,ሁለተኛ,0
1996,ኢየሱስ,211
1996,እኔ,47
1996,ችላ,40
1996,ህይወት,32
1996,ፍቅር,31
1996,ጌታን,24
1996,ልቤ,23
1996,መልካም,22
1996,እርሱ,22
1996,ዛሬ,21
1996,ላደረክልኝ,20
1996,ሰበረ,20
1996,ቀልድ,20
1996,አንበሳ,20
1996,ዝላዩ,20
1996,ይብቃ,20
1996,ሁሉን,18
1996,ልዩ,18
1996,ክብር,17
1996,ይሆናል,16
1996,ኑሮ,15
1996,መቼ,14
1996,ማለት,14
1996,ማነ,14
1996,ትቢያ,14
1996,አትበል,14
1996,ወንድሜ,14
1996,ድንቅ,14
1996,ጋር,14
1996,መች,13
1996,ከፍ,13
1996,ውስጤ,13
1996,ለአንተ,12
1996,ምስኪኑ,12
1996,ምንም,12
1996,በጣም,12
1996,ተዋደናል,12
1996,ተው,12
1996,ንጉሥ,12
1996,አንለያይ,12
1996,እኔስ,12
1996,ውለታ,12
1996,የአንተ,12
1996,ይሻላል,12
1996,እጅ,11
1996,ወዳጅ,11
1996,ወዴት,11
1996,ላላገኝ,10
1996,ልብ,10
1996,ልገልፀው,10
1996,መማረር,10
1996,መስማማት,10
1996,ሚመስለው,10
1996,ማኩረፍ,10
1996,ረዳኸኝ,10
1996,ሰጥቻለሁ,10
1996,ቀር,10
1996,ቀንበሬ,10
1996,በቀላሉ,10
1996,በዛብኝ,10
1996,ብሏል,10
1996,ተመሥገን,10
1996,ተማርኬያለሁ,10
1996,ተረትቻለሁ,10
1996,ተሸንፌያለሁ,10
1996,ተከተል,10
1996,ተከተይ,10
1996,ተይ,10
1996,ታዛዥ,10
1996,ነበረ,10
1996,አላውቅ,10
1996,አልችል,10
1996,አሸንፏል,10
1996,አትበይ,10
1996,አነሳኸኝ,10
1996,እህቴ,10
1996,እኛ,10
1996,እየሱሴ,10
1996,ውብ,10
1996,ዓለም,10
1996,የጌቶች,10
1996,ያዋጣል,10
1996,ይሁዳ,10
1996,ድንጋዩ,10
1996,ጊዜ,10
1996,ግዙፉ,10
1996,ጠጣሩ,10
1996,ጥሜ,10
1996,ፈቃድ,10
1996,ላይሆን,8
1996,ላይረካ,8
1996,ላይፈይደኝ,8
1996,ሚሆን,8
1996,ርቄ,8
1996,ቢሆን,8
1996,አላየሁኝ,8
1996,እሄዳለሁኝ,8
1996,ያከበረኝ,8
1996,ህይወቴ,7
1996,ሆነ,7
1997,ኢየሱስ,74
1997,እኔ,25
1997,ሆነ,21
1997,ችላ,20
1997,ጌታን,16
1997,ህይወት,12
1997,ነዉ,12
1997,ኑሮ,11
1997,ቀልድ,10
1997,ዝላዩ,10
1997,ይብቃ,10
1997,ፍቅሩ,10
1997,ሃዘኔ,8
1997,ምህረቱ,8
1997,አለ,8
1997,አምላኬ,8
1997,ሰላም,7
1997,አትበል,7
1997,ወንድሜ,7
1997,ልማፀነው,6
1997,በኔ,6
1997,ብርሃን,6
1997,ብርታት,6
1997,ተረድቻለው,6
1997,ተው,6
1997,አልፎ,6
1997,አየሁኝ,6
1997,እረሳሁት,6
1997,ይሻለኛል,6
1997,ጨለማ,6
1997,ሁልግዜ,5
1997,ለም,5
1997,ልንከስ,5
1997,ማርኮኛል,5
1997,ምንም,5
1997,ሰምቶ,5
1997,ስጋዬ,5
1997,ባርከዋለው,5
1997,ባይገባኝ,5
1997,ብዙ,5
1997,ተማርኬያለው,5
1997,ተከተል,5
1997,ተከተይ,5
1997,ተይ,5
1997,አሁ,5
1997,አልሰለችም,5
1997,አትበይ,5
1997,አይጥለኝ,5
1997,አግኝቻለው,5
1997,እህቴ,5
1997,እርሱ,5
1997,እስኪመልሰው,5
1997,እጠብቀዋለሁ,5
1997,ዘገየ,5
1997,የለ,5
1997,ይህን,5
1997,ፀሎቴ,5
1997,ፈፅሞ,5
1997,ሀዘን,4
1997,ሁሉን,4
1997,ልመለስ,4
1997,አባቴ,4
1997,እግዚአብሄር,4
1997,ዓለም,4
1997,የአንተ,4
1997,ያስጨነቀኝ,4
1997,ጋር,4
1997,ላላተርፍ,3
1997,ልብ,3
1997,መጥቶ,3
1997,ማይሆን,3
1997,ምህረት,3
1997,ሞልቶ,3
1997,ሞት,3
1997,ረድኤቴ,3
1997,ሰው,3
1997,ቀድሞ,3
1997,በዝቶ,3
1997,ቤቴ,3
1997,ተረዳሁ,3
1997,ተጎዳሁ,3
1997,ቸሩ,3
1997,አራቅቶኛል,3
1997,አንገፍግፎኛል,3
1997,እዚ,3
1997,ዛሬ,3
1997,ያለሱማ,3
1997,ይመቸኛል,3
1997,ይብቃኝ,3
1997,ደስታ,3
1997,ፊቱ,3
1997,ሀብት,2
1997,ህይወቴ,2
1997,ሆኗል,2
1997,ሆኜ,2
1997,ለውጠህ,2
1997,ልኖር,2
1997,ልከተለው,2
1997,መላ,2
1997,መቆሜ,2
1998,ኢየሱስ,38
1998,ብዙ,33
1998,እግዚአብሄር,27
1998,ድንቅ,21
1998,እኔ,16
1998,ለአንተ,12
1998,ልዩ,12
1998,ተነስቷል,11
1998,ህያው,9
1998,አለ,9
1998,እኛ,8
1998,ዘላለም,8
1998,ፈውስ,8
1998,ህይወት,6
1998,ለካ,6
1998,ምሥጋና,6
1998,ምሮኛል,6
1998,ሞተ,6
1998,አያቅትህም,6
1998,አይሳንህም,6
1998,ከፍታ,6
1998,ዝማሬ,6
1998,ፊቱ,6
1998,ሃሌሉያ,5
1998,ለሞተው,5
1998,ለኛ,5
1998,ማንም,5
1998,ሲነካ,5
1998,በላይ,5
1998,በሩ,5
1998,ተወጋ,5
1998,ትቶ,5
1998,ነገሬ,5
1998,ነፍስ,5
1998,አልቀረም,5
1998,አከብረዋለሁ,5
1998,አከብራለሁ,5
1998,አደረገ,5
1998,እቀርባለሁ,5
1998,እይኖቼ,5
1998,እጆቼ,5
1998,ክንዱ,5
1998,ወደዋለሁ,5
1998,ዘርቷል,5
1998,ያደረገ,5
1998,ጌታን,5
1998,ጐኑ,5
1998,ሁሉን,4
1998,ልቡ,4
1998,ምሥጋናችን,4
1998,ሰማይ,4
1998,ሰው,4
1998,ስላየሁ,4
1998,ባይኖቸ,4
1998,አወራለሁ,4
1998,እመሰክራለሁ,4
1998,እርሱ,4
1998,እንደተናገረ,4
1998,ክብር,4
1998,ዘምራለሁ,4
1998,ይሄ,4
1998,ጠላቴ,4
1998,ሆነ,3
1998,ሆኖ,3
1998,ላለ,3
1998,ሌለ,3
1998,ማነ,3
1998,ምድር,3
1998,ሥልጣኑ,3
1998,ሰበረ,3
1998,ሱስ,3
1998,ስሙ,3
1998,ተስፋ,3
1998,አምላክ,3
1998,አረ,3
1998,እጅግ,3
1998,ከፍ,3
1998,የኛ,3
1998,ፈርኦን,3
1998,ሃዘናችን,2
1998,ሆኗል,2
1998,ልዑል,2
1998,ልጅ,2
1998,መከራ,2
1998,መከራችን,2
1998,ምህረቱ,2
1998,ሞገስ,2
1998,ረዳት,2
1998,ስልጣኑ,2
1998,ስራ,2
1998,ስንል,2
1998,ቀኝ,2
1998,ቁጣ,2
1998,ቃሉ,2
1998,ቃል,2
1998,በባዕድ,2
1998,በኛ,2
1998,በከፍታዎች,2
1998,ባህሩ,2
1998,ብርቱ,2
1999,ኢየሱስ,75
1999,እኔ,34
1999,እርሱ,33
1999,ሁልግዜ,27
1999,አምላኬ,26
1999,ነዉ,24
1999,ህይወቴ,20
1999,ያደረገ,18
1999,ይለኛል,18
1999,ፍቅሩ,18
1999,ምህረቱ,17
1999,ድንቅ,16
1999,ኃያል,15
1999,ደስ,14
1999,በላይ,13
1999,ጌታን,13
1999,መልካም,12
1999,ማወቄ,12
1999,ወዳጄ,12
1999,መች,11
1999,ፍቅር,11
1999,ማዳን,10
1999,ነፍሴ,10
1999,አቁሞኛል,10
1999,አይቻለሁ,10
1999,ምህረት,9
1999,ሰላም,9
1999,ዝም,9
1999,ሁሌ,8
1999,ልቤ,8
1999,መድኃኒቴ,8
1999,ያስደንቀኛል,8
1999,ያስገርመኛል,8
1999,አመስግን,7
1999,ሁሉን,6
1999,ማነ,6
1999,ማንም,6
1999,ምድራችን,6
1999,ሥራ,6
1999,እንዳንተ,6
1999,ዘለዓለም,6
1999,ይገርመኛል,6
1999,ፊት,6
1999,ህጻንነቴ,5
1999,ሆኖ,5
1999,ላመስግነው,5
1999,ላንሳ,5
1999,ላክብር,5
1999,ሌለ,5
1999,ልብ,5
1999,ሚያደርግ,5
1999,ምሥጋና,5
1999,ምሥጋናዬ,5
1999,ስትመራኝ,5
1999,በዛ,5
1999,ብቻውን,5
1999,ተቀበለ,5
1999,ተዓምር,5
1999,ቸርነት,5
1999,አስታውሳለሁ,5
1999,አቻ,5
1999,እረሳሁ,5
1999,እጅግ,5
1999,እጆቼ,5
1999,ክብር,5
1999,ወርቅ,5
1999,ዘነጋሁ,5
1999,የሚሠራ,5
1999,የቱ,5
1999,ያሰኛል,5
1999,ጀምሮ,5
1999,ጉልበቴ,5
1999,ጥበብ,5
1999,ሁሉም,4
1999,ህይወት,4
1999,ለም,4
1999,ላመልከው,4
1999,ላመስግን,4
1999,ልባርከ,4
1999,ልገዛልህ,4
1999,መቼ,4
1999,መከታ,4
1999,ሚስጢር,4
1999,ማለዳ,4
1999,ማወቁ,4
1999,ሞኝነቱ,4
1999,ሞኝነት,4
1999,ሥም,4
1999,ሲለኝ,4
1999,ቀምሼ,4
1999,በልጦብኝ,4
1999,በዝቶ,4
1999,ብዙ,4
1999,ተመችቶኝ,4
1999,ተማርካ,4
1999,ተረድታ,4
1999,ተስፋ,4
1999,ተከተልኩት,4
1999,ተገልጦ,4
1999,ታዲያ,4
2000,ኢየሱስ,292
2000,ሰው,96
2000,እኔ,78
2000,ፍቅር,72
2000,አምላኬ,64
2000,በላይ,46
2000,እርሱ,44
2000,እግዚአብሄር,44
2000,ክብር,40
2000,ደረሰበት,40
2000,መልካም,38
2000,እውነት,38
2000,አንተን,36
2000,ይመጣል,36
2000,ታደርጋለህ,34
2000,ብዙ,32
2000,እንዳንተ,32
2000,ድል,32
2000,ይድረስ,30
2000,ልብ,28
2000,ማንም,28
2000,ስራ,26
2000,አባት,26
2000,ዝም,26
2000,ልቤ,24
2000,ምስጋና,24
2000,ምድር,24
2000,ብቸኛ,24
2000,ኑሮ,22
2000,ንጉስ,22
2000,እወድሃለሁ,22
2000,ዘላለም,22
2000,ያሰበ,22
2000,ተበላሸበት,20
2000,አማላጄ,20
2000,ከቶ,20
2000,ያቀደው,20
2000,አንተው,18
2000,እንኳ,18
2000,ወዳጅ,18
2000,ዛሬ,18
2000,ይሄ,18
2000,መኖር,16
2000,ቅዱስ,16
2000,አዳኝ,16
2000,ደረሰ,16
2000,ደግሞ,16
2000,ድንቅ,16
2000,ገባ,16
2000,መልስ,14
2000,ምስጋናዬ,14
2000,ቀር,14
2000,ቀን,14
2000,አሁ,14
2000,አምላክ,14
2000,አምልኮዬ,14
2000,እኛ,14
2000,እውነተኛ,14
2000,እጅ,14
2000,ውስጤ,14
2000,የአንተ,14
2000,ዲያቢሎስ,14
2000,ፊት,14
2000,ሆነ,12
2000,ሆንኩኝ,12
2000,ሆኛለሁ,12
2000,ልዑል,12
2000,መክበሩ,12
2000,ምህረት,12
2000,ሰይጣን,12
2000,ሲኦል,12
2000,ቀጥሯል,12
2000,ቁጣ,12
2000,ቆመ,12
2000,ተለውጧል,12
2000,ተወራ,12
2000,ታሪኬ,12
2000,አልነበረ,12
2000,አምላኩ,12
2000,አበባ,12
2000,አይኖር,12
2000,አግኝቼ,12
2000,እነሳለሁ,12
2000,እያየ,12
2000,እግሩ,12
2000,ከንቱ,12
2000,ወደድከኝ,12
2000,ውስጥ,12
2000,ዘለዓለም,12
2000,የለኝ,12
2000,ያያሉ,12
2000,ያጣፍጣል,12
2000,ይባረክ,12
2000,ይኖራል,12
2000,ይዞ,12
2000,ጌታን,12
2000,ህይወቴ,10
2000,ለችግረኞች,10
2000,ልጅ,10
2000,መሸነጋገል,10
2001,ኢየሱስ,128
2001,ሃሌሉያ,78
2001,ለአንተ,56
2001,ምሥጋና,48
2001,አመሰግንሃለሁ,48
2001,ክብር,44
2001,እኔ,34
2001,አቤቱ,32
2001,ምህረቱ,30
2001,ከፍ,28
2001,ብዙ,26
2001,ዘለዓለም,26
2001,ሲያንስ,24
2001,እያደነቀ,24
2001,እግዚአብሄር,24
2001,አምላክ,22
2001,አለ,20
2001,አከብራለሁ,20
2001,መልካም,18
2001,ታላቅነት,18
2001,አመሰግንሃለው,18
2001,እውነት,18
2001,ለሌለህ,16
2001,ሥሙ,16
2001,ሥራ,16
2001,ቆጥሬ,16
2001,በየዕለቱ,16
2001,ተመስገን,16
2001,ተስፋ,16
2001,ተናግሬ,16
2001,ነህና,16
2001,ነውና,16
2001,ነፍስ,16
2001,አልቀረልኝ,16
2001,አልጨርሰው,16
2001,አቻ,16
2001,አንተን,16
2001,አይቼ,16
2001,ኢኸው,16
2001,ያደረገ,16
2001,ደስ,16
2001,ጋራ,16
2001,ልቤ,14
2001,ምድር,14
